Feature	 Category 	 Polarity 
vegetarian food	food	neutral
noodle soup	dish	neutral
waffles disappointing didnt	dish	bad
awesome pizzas	dish	good
simple comfort food	food	good
brunch much	meal	neutral
extremely great food	food	good
stuff especially chocolate	dish	neutral
dark chocolate	food	bad
not_dollars lunch	meal	neutral
pricey tip	cost	bad
not_pie meat pie	food	neutral
organic sandwich tea	meal	neutral
not_even salad	dish	neutral
not_chocolatey far banana	food	neutral
not_raw food	food	neutral
sandwich lunch	meal	neutral
great steak calamari	meal	good
speedy service	service	good
staff bright	staff	good
dine service	service	neutral
excellent food	food	good
pricey little	cost	bad
fantastic breakfast	meal	good
eating lunch	meal	neutral
waited counter service	service	neutral
spread cheese	meal	neutral
couscous merguez	dish	neutral
food enormous	food	neutral
slight lunchtime wait	meal	neutral
cheese beet	food	neutral
aroma chocolate	food	neutral
main dish	dish	neutral
right front lunch	meal	good
specialty polish	dish	neutral
identical meat version	food	neutral
great staff attitude	staff	good
excellent unique brunch	meal	good
food go instead	meal	neutral
not_weekends lunch	meal	neutral
satisfying breakfast	meal	good
green tea paste	meal	neutral
specials crappy	dish	bad
meats personally prefer	food	good
not_worth charge imo	cost	bad
russian salad working	dish	neutral
not_brunch especially great	meal	bad
food really outstanding	food	good
not_reasonable quality food	food	bad
including buttery	food	neutral
not_special club sandwich	dish	neutral
staff exceptional	staff	good
monstrous blt coconut	food	bad
salade verte accompany	dish	neutral
quick breakfast heading	meal	neutral
breakfast heading	meal	neutral
not_specials chalkboard	dish	neutral
not_latte+friendly service	service	neutral
life especially restaurant	dish	neutral
soup cuban sandwich	dish	neutral
bean menu espresso	menu	neutral
not_food 'm	food	neutral
not_nice omelet share	dish	bad
not_nos thés tea	meal	neutral
open night snack	meal	neutral
croissant breakfast sandwich	meal	neutral
reesonable service	service	neutral
brunch year	meal	neutral
café staff	staff	neutral
menu fairly small	menu	good
foodie scene	food	neutral
not_good meat	food	bad
meal 'm still	meal	neutral
brewing tea	meal	neutral
ok brunch	meal	neutral
lunch example	meal	neutral
great lunch	meal	good
herbed cream cheese	food	neutral
not_n't starting lunch	meal	neutral
great staff vibrant	staff	good
not_vegan food amazing	food	bad
healthy breakfast lunch	meal	good
special chili cornbread	dish	neutral
lunch-type food	meal	neutral
typical breakfast	meal	neutral
different dish	dish	neutral
not_pretty standard brunch	meal	bad
untrained service	service	neutral
lunch heard good	meal	good
last meal	meal	neutral
cheesecake good	dish	good
sticky toffee pudding	dish	bad
bite chew	meal	neutral
bites friend triple	meal	neutral
real cheesecake	dish	neutral
real tea fruit	meal	neutral
not_meal horrible	meal	good
chocolate kid	food	neutral
tried order price	cost	neutral
delicious-looking lobster salad	dish	neutral
underwhelmed brunch	meal	neutral
breakfast dish	meal	neutral
good place breakfast	meal	good
menu simple everything	menu	neutral
food even worth	food	good
satisfactory lunch	meal	good
fan food order	food	neutral
additional cost	cost	neutral
not_salad fresh	dish	bad
pricey really great	cost	neutral
substantial price point	dish	neutral
food substantial	food	neutral
service attentive courteous	service	good
chocolate cold	food	bad
especially winter	dish	neutral
pizzas maybe waffle	dish	neutral
menu available	menu	good
not_bubble tea use	meal	neutral
not_candy-level chocolate	food	neutral
outstanding breakfast lunch	meal	good
hot goat cheese	food	good
not_even particularly well-steamed	meal	neutral
adding menu	menu	neutral
not_bring bowl soup	dish	neutral
including cake	dish	neutral
noodle salad peanut	dish	neutral
not_timer brunchy sunday	meal	neutral
not_chili hot	dish	bad
price good	cost	good
not_bad staff	staff	good
green tea taste	meal	neutral
outstanding service amazing	service	good
dish swimming oil	dish	neutral
meal trip	meal	neutral
real coffee breakfast	meal	neutral
milk teas	meal	neutral
not_chocolate totally worth	food	bad
pricey excellent	cost	neutral
favourite lunch spot	meal	neutral
rich buttery brioche	food	good
special think 'm	dish	neutral
favorite lunch place	meal	good
meat cheese	food	neutral
favorite meal bistro	meal	good
polite staff	staff	good
brunch fortunate	meal	good
not_say chocolate	food	neutral
brunch- decaf latte	meal	neutral
salad cheese	dish	neutral
lunch special	meal	neutral
not_delicious food	food	bad
especially considering days	dish	neutral
bite chew bite	meal	neutral
not_like chocolate	food	bad
chai tea latte	meal	neutral
foods take veggie	food	neutral
not_pie cake	dish	neutral
not_slow service	service	good
not_foods good	food	bad
salad avocado	dish	neutral
not_cheese oozing	food	neutral
afterwards keeping dish	dish	neutral
not_meant eat breakfast	meal	neutral
food typical	food	neutral
recommended excellent lunch	meal	good
food filling	food	neutral
not_nice service	service	bad
especially love	dish	good
nice yogurt parfait	food	good
salad mountain	dish	neutral
chocolate galore	food	good
'un-cheese cakes	dish	neutral
definitely triple chocolate	food	neutral
happy salad	dish	good
potato/chickpea curry roti	dish	neutral
not_cakes cake raspberry	dish	neutral
horrible service	service	bad
mesmerizing chili	dish	good
not_food ok	food	neutral
tea pretty good	meal	good
not_learn brunch	meal	neutral
not_point indeed bakery	dish	neutral
carrot cake ok	dish	neutral
sit picnic	meal	neutral
delicious staff attentive	staff	good
not_butter delicious	food	bad
highly recommended service	service	good
maybe franchise chocolate	food	neutral
great service excellent	service	good
not_toast breakfast n't	meal	neutral
tea 've ever	meal	neutral
wish brunch	meal	neutral
early dinner	meal	neutral
food consistently unreal	food	good
fishbowl-like glass	food	neutral
fresh produce	food	good
food absolutely amazing	food	good
cute place brunch	meal	good
cheese bbq sauce	food	neutral
great restaurant service	service	good
not_staff pleasant	staff	bad
disappointed realize	dish	bad
good meal montreal	meal	good
risotto twist mac	dish	bad
lunch week	meal	neutral
entryway menus	menu	neutral
middle everything service	service	neutral
moz cheese	food	neutral
overall staff	staff	neutral
staff always welcoming	staff	neutral
pointe calliere	dish	neutral
not_meat vegetable	food	neutral
brunch atlantic	meal	neutral
portuguese breakfast	meal	neutral
cheese cachito fantastic	food	good
not_unassuming food	food	neutral
dressing salad	dish	neutral
food really bad	food	bad
somewhere mile-end plateau	meal	neutral
next meal	meal	neutral
not_bite croissant overly	meal	neutral
recommend dish	dish	good
eating chocolate	food	neutral
swiss cheddar cheese	food	neutral
espresso chocolate brioche	food	neutral
long food	food	neutral
wonderful lunch spot	meal	good
not_wrong chocolate	food	good
nice breakfast place	meal	good
'brunch santé	meal	neutral
definitely happy food	food	good
prepared wait food	food	neutral
food really fresh	food	good
not_mousse cake	dish	neutral
complaints get chocolate	food	bad
casualworth price	cost	neutral
not_avocado fish n't	food	neutral
chicken salad cappuccino	dish	neutral
not_seated service	service	neutral
bagel cream cheese	food	neutral
good food see	food	good
not_extremely tasty meal	meal	neutral
memories brunch	meal	neutral
salad rice mountain	dish	neutral
expensive food	food	bad
great service line	service	good
appetizer fruit chocolate	food	neutral
cheese choice bread	food	neutral
eggsbaconhamsausagesauteed mushroomsbaguettefresh	dish	neutral
staff+complimentary bread meal+juicy	staff	neutral
delicious salad	dish	good
dark meat mountain	food	bad
bitter dark chocolate	food	bad
not_expensive service	service	good
soups québec	dish	neutral
bite hoping dessert	meal	neutral
teas excellent	meal	good
great place snack	meal	good
buttery goodness	food	good
jour special	dish	neutral
salmon spread	meal	neutral
not_green tea	meal	neutral
hot chocolate flight	food	good
terms croissant	cost	neutral
not_hipster-like brunch	meal	neutral
busystaff great	staff	good
not_service setting	service	neutral
cheese homemade spicy	food	neutral
meal montreal success	meal	good
disappointing thing	dish	bad
not_food pretty good	food	bad
bubble tea amazing	meal	good
not_good experience disappoint	dish	neutral
place- decor staff	staff	neutral
fries rice salad	dish	neutral
breakfast 've ever	meal	neutral
first meal	meal	neutral
disappointed taste texture	dish	bad
not_chocolate bad	food	good
mexican omelette sandwich	dish	neutral
brunch ok	meal	neutral
meals trust	meal	good
cheese sawing salmon	food	neutral
delicious breakfast	meal	good
late afternoon tea/coffee	meal	neutral
truffle mac cheese	food	neutral
lunch good	meal	good
meal simple	meal	neutral
brunch friendly	meal	good
cesar salad chicken	dish	neutral
food willing	food	good
not_chill service general	service	good
busy turnover	dish	neutral
not_bursting-at-the-seam-with-cheese breakfast	meal	neutral
brunch selection suggest	meal	neutral
drink tea	meal	neutral
not_middle-eastern meat	food	neutral
meals 're	meal	neutral
special christmas brunch	meal	neutral
salad bar	dish	neutral
great spot breakfast	meal	good
dish simple	dish	neutral
knowledgeable staff	staff	good
not_specials always great	dish	bad
especially big stomach	dish	neutral
little pricey go	cost	bad
salad bar menu	dish	neutral
brazilian food	food	neutral
not_bite limp	meal	good
friendly staff board	staff	good
try go lunch	meal	neutral
still excellent food	food	good
salad rice insane	dish	bad
not_food 've	food	neutral
small staff	staff	neutral
montreal especially saturday	dish	neutral
little pricey hey	cost	bad
salad lovely	dish	good
not_chocolate room	food	neutral
buttery flaky	food	bad
not_eat food	food	neutral
deserts especially cheese	dish	neutral
high-priced dining linen	cost	bad
specials sometimes include	dish	neutral
chocolate almond croissant	food	neutral
lunch brunch	meal	neutral
nothing special	dish	neutral
staff quite charming	staff	good
not_chocolate parfait-	food	neutral
mess good thing	meal	neutral
pricey brunch	meal	bad
people specialize	dish	neutral
not_big guy price	cost	neutral
not_special place	dish	neutral
overpriced brunch	meal	bad
dishes baklava	dish	neutral
not_try menu n't	menu	neutral
sparse menu	menu	neutral
divinely flakely buttery	food	good
go-to place lunch	meal	neutral
instead insisted	meal	neutral
not_quite disappointed	dish	good
especially live	dish	neutral
not_believe staff	staff	neutral
bit cheesecake	dish	neutral
beautiful place food	food	good
soup serving quite	dish	neutral
food saturday	food	neutral
friendly staff vibe	staff	good
smile meal	meal	good
santé yogurt	food	neutral
eclairs chocolate	food	neutral
especially nice	dish	good
food really goodservice	food	neutral
not_menu big	menu	neutral
beans coconut shrimp	food	neutral
special lemongrass beef	dish	neutral
menu asian	menu	neutral
service friendly know	service	good
dinner 're really	meal	neutral
not_know breakfast	meal	neutral
people ordering pizza	dish	neutral
not_looking menu	menu	neutral
yum great food	food	good
banana chocolate pie	food	neutral
cold milk tea	meal	bad
good fresh food	food	good
not_waiting food	food	neutral
tons chocolate	food	neutral
not_vegan hotspot plateau	meal	neutral
delicious lunch snack	meal	good
cheese bacon burnt	food	neutral
delicious chicken salad	dish	good
not_service able	service	neutral
dish alright	dish	neutral
felt good meal	meal	good
bite worth	meal	good
place lunch	meal	neutral
basic breakfast	meal	neutral
service incredibly friendly	service	good
menu try guide	menu	neutral
great meal shopping	meal	good
egg cheese	food	neutral
good breakfast	meal	good
local breakfast spot	meal	neutral
not_breakfastrationale brunch	meal	neutral
avoid chili	dish	neutral
not_tea brioche	meal	neutral
salad want	dish	neutral
not_thing disappointed	dish	good
trying breakfast	meal	neutral
light lunch	meal	neutral
throw food	food	neutral
not_salad sweet	dish	bad
not_disappointed orange carrot	dish	good
white loaf bread	food	neutral
chocolate high	food	neutral
buying food	food	neutral
not_pricey well worth	cost	bad
not_meat eater n't	food	neutral
absolutely great food	food	good
atmosphere fantastic staff	staff	good
ever chocolate banana	food	neutral
unfriendly service	service	bad
chocolate babka	food	neutral
salmon breakfast plate	meal	neutral
salad good	dish	good
trendy plateau hipster	meal	good
foundues chocolate pizzas	dish	neutral
cozy place food	food	good
blueberry chocolate	food	neutral
friend butter	food	neutral
brunch winter summer	meal	neutral
not_delicious banana chocolate	food	bad
go brunch	meal	neutral
service look forward	service	neutral
lunch place	meal	neutral
brunch different	meal	neutral
great service place	service	good
menu favorite	menu	good
lebanese place plateau	meal	neutral
next meal gourmand	meal	neutral
cheese pastry	food	neutral
wonderful breakfast	meal	good
full service cafe/restaurant	service	neutral
meal take	meal	neutral
quinoa salad	dish	neutral
sticks tomatoes cheese	food	neutral
lunch time expect	meal	neutral
prices low	cost	neutral
not_mile end plateau	meal	neutral
dish dolce	dish	neutral
noodle dish	dish	neutral
food porn	food	neutral
not_bread peanut butter	food	neutral
not_pizza n't	dish	neutral
meal entire	meal	neutral
dish breakfast brunch	meal	neutral
menu creative	menu	good
later cheese wine	food	neutral
appetizers tea	meal	neutral
friendly service food	food	good
good pizzaaa sugar	dish	good
bite go	meal	neutral
loaf great	food	good
not_yes top chocolate	food	bad
open face breakfast	meal	neutral
light salad crispy	dish	neutral
not_disappointed hungry	dish	good
broccoli soup	dish	neutral
excellent lunch	meal	good
brunch spot	meal	neutral
not_instead beginning	meal	neutral
brunch far 've	meal	neutral
great service coffee	service	good
far much food	food	neutral
come food	food	neutral
cheese plain	food	neutral
ate chocolate cherry	food	neutral
service impeccable	service	good
foods entrées	food	neutral
meat pudding	dish	neutral
chocolates think	food	neutral
hot milk tea	meal	good
dinner to-go	meal	neutral
instead outside	meal	neutral
extensive chocolate bar	food	neutral
not_food really good	food	bad
great food excellent	food	good
salad full	dish	neutral
wanted try service	service	neutral
not_snacks amazing	meal	bad
friendly prompt service	service	good
salad greek	dish	neutral
salad green	dish	neutral
banana-chocolate square	food	neutral
hot chocolate drink	food	good
say food	food	neutral
not_food delicious	food	bad
good selection food	food	good
great spot breakfast/brunch/lunch	meal	good
table service	service	neutral
atmosphere great staff	staff	good
not_authentic breakfast	meal	bad
waitstaff adorable	staff	good
not_blanketing chickensalad	dish	neutral
not_pricey breakfast	meal	good
salad sandwich	dish	neutral
great start brunch	meal	good
instead waiting	meal	neutral
brown rice dish	dish	neutral
menu extremely extensive	menu	neutral
bite size issue	meal	bad
good music food	food	good
simple looking salad	dish	neutral
friend bite	meal	neutral
breakfast stand	meal	neutral
service pretty friendly	service	good
tasty meal	meal	neutral
staff bilingual	staff	neutral
delicious price	cost	good
vegan comfort food	food	good
white bread meat	food	neutral
service pretty quick	service	good
cake dry	dish	neutral
pizza adorable	dish	good
not_fish n't	food	neutral
food solidly average	food	neutral
not_super- chocolatey	food	neutral
good food fun	food	good
not_point typical	dish	neutral
cheese smoke meat	food	bad
little much food	food	neutral
well spent service	service	good
fantastic lunch	meal	good
not_service amazing even	service	bad
menu cuban	menu	neutral
busy service	service	neutral
especially along salty/crunchy/spicy	dish	neutral
not_portugal custard	dish	neutral
food consistently delicious	food	good
cheese dressing yummy	food	neutral
not_food bright	food	bad
overall lot food	food	neutral
brunch plank	meal	neutral
ratio bread meat	food	neutral
not_service quick	service	neutral
low price	cost	neutral
cute breakfast amazing	meal	good
excellent goat cheese	food	good
food outstanding	food	good
service explaining	service	neutral
brunch sucré	meal	neutral
dinner large	meal	neutral
cake mesclun	dish	neutral
not_brunch sucre	meal	neutral
especially 're taller	dish	neutral
salad side	dish	neutral
not_brunch question think	meal	neutral
food authentic	food	good
worth price wait	cost	good
waffle fondue	dish	neutral
quick lunch midday	meal	neutral
special brunch	meal	neutral
especially take greyhound	dish	neutral
free brunch	meal	good
salad side refreshing	dish	good
disappointment tourist	dish	bad
scone 'un-cheese	food	neutral
service really great	service	good
late evening snack	meal	neutral
-food- coupe santé	food	neutral
local venezuelan food	food	neutral
not_much food	food	neutral
lunch rush	meal	neutral
salmon cake	dish	neutral
not_pricey get n't	cost	good
mousse cake white	dish	neutral
chicken/bean/cilantro/cheese soup	dish	neutral
foodie city	food	neutral
turnover pretty quick	dish	good
potatoes quinoa salad	dish	neutral
great ice tea	meal	good
soups great	dish	good
not_pizza- chocolate nutella	dish	neutral
good price value	cost	good
not_meat-heavy pie	food	neutral
not_possibly eating chocolate	food	neutral
staff serving	staff	neutral
meal actual	meal	neutral
chocolate fondue	dish	neutral
portuguese custard tart	dish	neutral
salads warm	dish	good
service eclectic	service	neutral
good place lunch	meal	good
fresh apple turnover	dish	good
getting food	food	neutral
not_extra thai chili	dish	neutral
picture foodspotting	food	neutral
not_salads sandwich small	dish	neutral
side salad mountain	dish	neutral
dark chocolate milkshake	food	bad
not_especially great	dish	bad
limited selection food	food	bad
massive amount food	food	neutral
especially saturday sunday	dish	neutral
food amazing	food	good
delicious ice tea	meal	good
not_hot chocolate wine	food	bad
salad mixed	dish	neutral
cheese sell store	food	neutral
not_pricey bag	cost	good
burrito friend	dish	neutral
special richness	dish	good
size chocolate-ricotta	food	neutral
cheese bread	food	neutral
not_omelette good	dish	bad
spaghetti special	dish	neutral
amazing chocolate	food	good
not_tea 've	meal	neutral
small chocolate	food	neutral
reading menu	menu	neutral
little disappointing	dish	bad
not_disappointed keep coming	dish	good
breakfast burrito friend	meal	neutral
not_fries look messy	meal	good
questionable servicethe bakery	service	bad
not_quickly especially know	dish	neutral
not_perfect hearty lunch	meal	bad
much food	food	neutral
not_special drink beverage	dish	neutral
service fair	service	good
chocolate italian	food	neutral
happy food service	food	good
meal old	meal	neutral
lebanese-style pizza forget	dish	neutral
japanese curry	dish	neutral
not_tonkatsu point	dish	neutral
brunches bordering fantastic	meal	good
horseradish spread	meal	neutral
friendly staff owner	staff	good
not_costs large	cost	neutral
perusing menu	menu	neutral
great menu	menu	good
late brunch score	meal	neutral
not_really special	dish	neutral
staff really nice	staff	good
sweet custard flaky	dish	neutral
stop coffee breakfast	meal	neutral
yogurt pretty	food	good
service still quick	service	neutral
town special	dish	neutral
hot cozy stew	dish	good
tea nos	meal	neutral
not_breakfast definitely back	meal	neutral
fondues pretty good	dish	good
meal many	meal	neutral
snacks fine gladly	meal	good
brunch cartet	meal	neutral
foods including	food	neutral
instead standard chevre	meal	neutral
first choice meal	meal	neutral
danish loaf ciabatta	food	neutral
absolutely outstanding service	service	good
delicious chocolate chip	food	good
daily menu	menu	neutral
brunch stay montreal	meal	neutral
tea friend	meal	neutral
not_special day	dish	neutral
goats milk cheese	food	neutral
various price	cost	neutral
farmers breakfast	meal	neutral
not_n't serving breakfast	meal	neutral
not_clients point	dish	neutral
not_chocolate cake	dish	neutral
bite milk tea	meal	neutral
good brunch	meal	good
brunch sucré food	meal	neutral
food oh delicious	food	good
plateau/mile end area	meal	neutral
soups fresh	dish	good
pizza way	dish	neutral
service always excellent	service	good
not_salad pathetic	dish	good
not_nothing extra-specialthe	dish	neutral
tip-in end pricey	cost	bad
something special	dish	neutral
food simply amazing	food	good
not_next day breakfast	meal	neutral
breakfast portuguese	meal	neutral
5/5- food coffee	food	neutral
white chocolate filling	food	neutral
tea delicious	meal	good
snack scallion pancake	meal	neutral
not_prices n't look	cost	neutral
bit overpriced	cost	bad
avocado horseradish	dish	neutral
pricey competition worth	cost	neutral
going brunch	meal	neutral
fondue experience	dish	neutral
toscan brunch	meal	neutral
friendly slight lunchtime	meal	good
menu good	menu	good
fast service	service	good
not_dish dirty tofu	dish	good
pretty disappointed place	dish	neutral
much menu	menu	neutral
special place	dish	neutral
pizzas much	dish	neutral
service efficient	service	good
food low	food	neutral
pleased meal	meal	good
excellent price	cost	good
not_double chocolate cookie	food	neutral
food pleasing	food	good
prices quite reasonable	cost	good
not_amazing food	food	bad
not_food sandwich n't	food	neutral
brazilian food 've	food	neutral
affordable fast food	food	good
buttery soft	food	good
however rather disappointed	dish	bad
breads pizza	dish	neutral
not_else great menu	menu	bad
quick tasty breakfast	meal	neutral
fluffy cheesecake	dish	neutral
prepared breakfast	meal	neutral
not_meal want	meal	neutral
cheesecake impressed	dish	good
salad bit	dish	neutral
tea tiny	meal	neutral
butter amazing great	food	good
great expense	cost	good
helpful service	service	good
not_white chocolate drizzle	food	neutral
not_perfect service floor	service	bad
poinsettas back	dish	neutral
staff great	staff	good
friendly quick service	service	good
brunch great	meal	good
crepes disappointing	dish	bad
quite positive food	food	good
not_cheap filling meal	meal	good
ran chocolate brioche	food	neutral
service traveling	service	neutral
daily lunch	meal	neutral
not_terrible service	service	good
not_worth wait price	cost	bad
salads start	dish	neutral
second dish	dish	neutral
food excellent	food	good
not_already lunch tourist	meal	neutral
limited savory menu	menu	bad
chefs/menu-makers reading	menu	neutral
brunch good	meal	good
chocolate delicious	food	good
soup delicious	dish	good
coffee really special	dish	neutral
carte delivery service	service	neutral
green tea matcha	meal	neutral
sunday brunch	meal	neutral
soup delicious waitress	dish	good
not_food worth	food	bad
chocolate factory yummy	food	neutral
panzella salad	dish	neutral
not_instead fantastic	meal	bad
swiss cheese egg	food	neutral
delightful bite	meal	good
not_brunch friendly	meal	bad
not_fresh baguette butter	food	bad
quick bite	meal	neutral
smooth chocolate drink	food	good
vegan menu	menu	neutral
brunch lady	meal	neutral
bacon cheese	food	neutral
prices fine	cost	good
not_montreal food 'm	food	neutral
price slightly steep	cost	bad
next brunching	meal	neutral
picnic delightful	meal	good
cheese cream kashta	food	neutral
not_good price quality	cost	bad
not_friendly service need	service	bad
breakfast black	meal	neutral
not_chocolatey hoping	food	neutral
complete meal	meal	neutral
chocolate craving	food	neutral
early dinner starving	meal	neutral
chocolate excellent	food	good
liliana service	service	neutral
fancy place food	food	good
good vegan food	food	good
not_service really nice	service	bad
not_n't like chocolate	food	bad
especially rainy day	dish	neutral
friendly staff light	staff	good
lentil soup thai	dish	neutral
cheese bacon	food	neutral
food to-go	food	neutral
service smile	service	good
croissant bar chocolate	food	neutral
pleasant service professional	service	good
favourite brunch	meal	neutral
salad rice	dish	neutral
prices normal	cost	neutral
huge scoop chocolate	food	neutral
favorite chocolate croissant	food	good
lunch hour rush	meal	neutral
not_decent food	food	bad
food seem bit	food	neutral
portuguese-style junk food	food	bad
fan chocolate	food	neutral
not_brunch possible	meal	neutral
curry savoury nourishing	dish	good
not_plateau charming	meal	bad
friendly staff	staff	good
staff welcoming funny	staff	bad
food really great	food	good
not_nuggets ok fish	food	neutral
not_hot chocolate watery	food	bad
good breakfast coffee	meal	good
not_sandwiches/soups nearby	dish	neutral
dish absolutely disgusting	dish	bad
special spice	dish	neutral
not_amuse-gueule enjoy meal	meal	bad
strawberries chocolate	food	neutral
fail staff	staff	bad
dishes overall	dish	neutral
prices dining	cost	neutral
produce inventive	food	good
first dish	dish	neutral
serve service	service	neutral
friendly helpful staff	staff	good
meat right	food	good
specially end	dish	neutral
quite picky coffee/bread/food	food	bad
