Feature	 category 	 polarity 
flavorful seafood chef	food	neutral
cool price	cost	good
expensive price pay	cost	bad
good meat	food	good
little steep brunch	meal	bad
always meaty	food	neutral
creative sushi	dish	good
hard teaser	meal	bad
delicious buttery	food	good
great dinner date	meal	good
good dinner	meal	good
pretty meat-ed point	dish	good
white fish butter	food	neutral
next point	dish	neutral
cheese love spinach	food	good
cheese plate	food	neutral
big mess	meal	bad
Especially single	dish	neutral
already flavorful seafood	food	neutral
restaurant meat	food	neutral
gigantic hunk meat	food	neutral
come dinner	meal	neutral
lentil-studded rice moussaka	dish	neutral
affordable falafel wrap	dish	good
've lunch	meal	neutral
really subpar salad	dish	neutral
little disappointing overall	dish	bad
predictable pricey place	cost	bad
delicious brunch	meal	good
special sit meal	dish	neutral
picnic basket option	meal	neutral
table turnover rate	dish	neutral
great point sweet	dish	good
picky sushi	dish	bad
picnic ambiance great	meal	good
really great point	dish	good
romantic dinner group	meal	good
large butter chicken	food	neutral
breast dessert chocolate	food	neutral
hot ham cheese	food	good
open smoke/steam	meal	neutral
strong point	dish	good
pretty light steak	meal	good
especially cold	dish	bad
However brunch	meal	neutral
especially restaurant	dish	neutral
special day oyster	dish	neutral
open lunch time	meal	neutral
special night	dish	neutral
Montrèal point	dish	neutral
large cheese bowl	food	neutral
extra charge	cost	neutral
impressively bad meat	food	neutral
bite Everything	meal	neutral
even famous seafood	food	good
fresh croissant brunch	meal	good
curry came fron	dish	neutral
salad come	dish	neutral
go salad great	dish	good
special gravy sauce	dish	neutral
second time disappoint	dish	bad
Also blue cheese	food	neutral
bite pickle	meal	neutral
cheese lobster	food	neutral
special return-trip dine	dish	neutral
restaurant price	cost	neutral
bite eat alone	meal	neutral
real cheese	food	neutral
cheese thing	food	neutral
fish etc	food	neutral
salad expect	dish	neutral
pleasure eating meat	food	good
definitely splurged dinner	meal	neutral
well good price	cost	good
friendly salad home	dish	good
different butter assortment	food	neutral
meal true disappointment	dish	bad
cheese right size	food	good
special day chocolate	dish	neutral
especially extremely reasonable	dish	good
regular price	cost	neutral
rock/chocolate hazelnut sucker	food	bad
actually really pricey	cost	bad
price-point love place	dish	good
special night happy	dish	good
instead short rib	meal	neutral
chocolate pistachio truffle	food	neutral
affordable sushi sushi	dish	good
oily meat	food	neutral
restaurant worth price	cost	good
also incredible chocolate	food	good
breakfast place	meal	neutral
cheese entire life	food	neutral
chocolate truffle meringue	food	neutral
sushi menu	dish	neutral
reasonable downtown/plateau area	meal	good
special evening group	dish	neutral
soft rice cake	dish	good
fantastic dinner	meal	good
really nice dinner	meal	good
buttery perfectly	food	good
definitely unique sushi	dish	neutral
special dining destination	dish	neutral
sure back steak	meal	neutral
meat vegetarian	food	neutral
cheese spinach ricotta	food	neutral
generic salad salad	dish	neutral
quickly luckly lunch	meal	neutral
special meal celebrate	dish	good
dish tostada case	dish	neutral
dish caramelle pasta	dish	neutral
fresh mozzarella cheese	food	good
actual dinner	meal	neutral
especially restaurant manager	dish	neutral
sashimi right	dish	good
disappointing experience	dish	bad
fish seafood	food	neutral
perfectly meat	food	good
anywhere first lunch	meal	neutral
different sushi restaurant	dish	neutral
special appetizer	dish	neutral
typical syrup butter	food	neutral
cheesy onion soup	dish	bad
well fish	food	good
vegetable biryani naan	dish	neutral
able pay dinner	meal	neutral
fig dessert point	dish	neutral
yummy cheese	food	neutral
outstanding dinner experience	meal	good
closed cheese plate	food	neutral
great value price	cost	good
bite didnt chew	meal	neutral
chocolate-covered orange rind	food	neutral
great lunch meal	meal	good
mac cheese perfect	food	good
breakfast/brunch ever went	meal	neutral
fat gristle point	dish	bad
single bite course	meal	neutral
probably enough breakfast	meal	good
goat cheese latka	food	neutral
special dining experience	dish	neutral
sandwich cheese tomato	food	neutral
small salad	dish	neutral
rendeng papaya salad	dish	neutral
salad person counter	dish	neutral
full lunch colleague	meal	neutral
special message hand	meal	neutral
special flavour	dish	neutral
want chew salad	dish	neutral
English breakfast style	meal	neutral
also nice snack	meal	good
Literally good hash	dish	good
beet salad	dish	neutral
lovely dish tostada	dish	good
delicious sushi decor	dish	good
curry laksa chicken	dish	neutral
vegetable recall point	dish	neutral
chocolate etc	food	neutral
fish day foie	food	neutral
blue cheese	food	neutral
local produce	food	neutral
fish food	food	neutral
picky meat charcoal	food	bad
basically sushi	dish	neutral
unforgettable fish	food	good
great turnover room	dish	good
bite took little	meal	neutral
fish black rice	food	neutral
instead real cheese	meal	neutral
previous post price	cost	neutral
instead smokey nose	meal	neutral
general experience point	dish	neutral
back special	dish	neutral
especially glad	dish	good
entrée price	cost	neutral
postal code point	dish	neutral
instead plate smoke	meal	bad
huge disappointment	dish	bad
little bit meat	food	neutral
actual desert point	dish	bad
dish quiet lunch	meal	good
great sushi place	dish	good
several savory brunch	meal	neutral
worth price	cost	good
fish great	food	good
instead cheese gravy	meal	neutral
nice dinner	meal	good
salad kick	dish	neutral
later brunch santé	meal	neutral
special place	dish	neutral
also good point	dish	good
romantic dinner	meal	good
instead good	meal	good
meat place	food	neutral
flaky buttery	food	bad
worth price think	cost	good
well cheese dinner	meal	good
able strain soup	dish	bad
pretty cool price	cost	good
moist carrot cake	dish	neutral
small loaf brioche	food	neutral
culinary feast hubby	meal	neutral
cheese meat etc	food	neutral
cheese mm	food	neutral
special event	dish	neutral
nice cheese munster	food	good
special made feel	dish	neutral
special pie	dish	neutral
special occasionAnother	dish	neutral
different texture meat	food	neutral
excellent pot cheesecake	dish	good
bite AMAZING ate	meal	neutral
swear monkfish	food	neutral
wonderful experience dinner	meal	good
especially French bistro	dish	neutral
belly instead short	meal	neutral
special occasion tasting	dish	neutral
relatively authentic soup	dish	good
special chicken	dish	neutral
special job budget	dish	neutral
goat cheese salad	dish	neutral
delicious pricey	cost	neutral
