Feature	 Category 	 Polarity 
dishes twist	dish	bad
pricey considering small	cost	bad
not_generally decent food	food	bad
cool price thali	cost	good
staff learning	staff	neutral
memorable meal eaten	meal	good
not_meal exactly steakhouseanthony	meal	neutral
menu 're	menu	neutral
famous dish	dish	good
brunch visiting montréal	meal	neutral
vegetable meat	food	neutral
continue making dish	dish	neutral
bread service	service	neutral
not_delicious staff	staff	bad
flavorful dish	dish	good
not_back brunch	meal	neutral
doodles menu	menu	neutral
high price think	cost	bad
staff helpful	staff	good
first bite amazing	meal	good
service pretty good	service	good
tasty service	service	good
staff humble	staff	good
exceptional service	service	good
not_fishing club	food	neutral
tasting menus	menu	neutral
not_necessary point	dish	neutral
not_ordering food	food	bad
nicely pungent cheese	food	good
desserts dense chocolate	food	bad
'yogurt drink	food	neutral
girolles mushroomscheese	food	neutral
well cheese	food	good
dish guineafowl dish	dish	neutral
food definitely average	food	bad
profiles dish exceptional	dish	good
choice bring special	dish	neutral
service responsive	service	good
not_breakfast smallish lunch	meal	good
sausages instead cheese	meal	neutral
not_disappointed wondering	dish	good
meal interim	meal	neutral
picking cheese	food	neutral
bite crisp	meal	good
sub-par tasting menu	menu	bad
single bite course	meal	neutral
roots italy breakfast	meal	neutral
service pretty	service	good
scallops chocolate	food	neutral
not_service 're	service	neutral
old school steak	meal	neutral
not_indian food thali	food	neutral
positive every staff	staff	good
make payment	cost	neutral
overly oily meat	food	bad
not_brunch novelty	meal	bad
bite eat	meal	neutral
fish drew	food	neutral
definitely tasting menu	menu	good
much steak onions	meal	neutral
good point trip	dish	good
food rather eating	food	neutral
not_late breakfast	meal	neutral
appealing meal	meal	good
especially temperature	dish	neutral
not_remarkable food warm	food	bad
banana chocolate	food	neutral
not_adventurous menu	menu	bad
beautiful presentation service	service	good
pork belly dish	dish	neutral
picnic right time	meal	good
try especially mechant	dish	neutral
wonderful food day	food	good
cheese side	food	neutral
europea special	dish	neutral
not_special event	dish	neutral
especially 'll sticking	dish	neutral
staff courteous	staff	good
white chocolate basil	food	neutral
points venue	dish	neutral
anywhere first lunch	meal	neutral
food much average	food	neutral
good price value	cost	good
sushi roll	dish	neutral
cheese crispy	food	neutral
cakes shrimp	dish	neutral
friendly service	service	good
'soup nazi form	dish	neutral
dark chocolate	food	bad
not_traditional sushi menu	dish	neutral
not_starting food	food	neutral
nice snack menu	meal	good
terms attire	cost	neutral
staff beautiful	staff	good
wonderfully indulgent food	food	good
dishes creative	dish	good
cost well worth	cost	good
food stand high	food	neutral
relaxing especially	dish	neutral
not_surprises basically dish	dish	neutral
instead cranking neck	meal	neutral
favorites ham cheese	food	neutral
not_menus available	menu	bad
special evening omg	dish	neutral
special sea bass	dish	neutral
things dish	dish	neutral
impeccable service awesome	service	good
bite didnt chew	meal	neutral
short food perfect	food	good
meal 've	meal	neutral
memorable dish	dish	good
questions menu well	menu	good
not_fast food restroom	food	bad
sure enjoying dinner	meal	good
wonderful wine menu	menu	good
main dish	dish	neutral
spiciness selecting dish	dish	neutral
apple butter	food	neutral
not_food bad	food	good
current menu	menu	neutral
extremely reasonable price	cost	good
parsnips special	dish	neutral
satisfying dinner	meal	good
really tasty service	service	good
interesting menu	menu	good
knowledgeable service	service	good
translate french-language menu	menu	neutral
exquisite meal	meal	good
lentil-studded rice moussaka	dish	neutral
not_picnic basket option	meal	bad
good snack food	meal	good
staff really nice	staff	good
staff wonderful	staff	good
small snack	meal	neutral
thin fish/ person	food	neutral
instead reheating sauce	meal	neutral
booth tearing animal	meal	neutral
not_quick lunch bouston	meal	bad
lacking price	cost	bad
special treat	dish	good
good meal warm	meal	good
service delicious	service	good
counts swear monkfish	food	neutral
not_steakhouseanthony bourdain	meal	neutral
say service	service	neutral
lunch expecting	meal	neutral
food fantastic	food	good
not_sashimi right	dish	bad
amazing meal	meal	good
great service	service	good
not_much pie dish	dish	neutral
3-course meal	meal	neutral
service really good	service	good
even famous seafood	food	good
really great point	dish	good
delicious cod fish	food	good
thoughtful milk tea	meal	good
great food experience	food	good
not_service 'd	service	neutral
including cheese	food	neutral
many staff working	staff	neutral
special message	meal	neutral
special gravy sauce	dish	good
salad unforgettable	dish	good
substantial tasting menu	menu	good
special never	dish	neutral
not_over-priced tourist trap	cost	good
great lunch	meal	good
meat literally flavourful	food	good
dishes wine well	dish	good
amazingly flavorful dish	dish	good
steak/cheese vegetarian	meal	neutral
not_first foodie	food	neutral
right price-point	dish	good
not_dish really good	dish	bad
outstanding meal	meal	good
fantastic mention food	food	good
fish dish salty	dish	neutral
not_breakfast place	meal	neutral
steal definitely good	meal	good
dish new	dish	neutral
impressive looking dish	dish	good
not_menu already small	menu	neutral
raw salmon salad	dish	neutral
great point sweet	dish	good
items menu	menu	neutral
point food	dish	neutral
pudding bourbon	dish	neutral
satiating dinner	meal	good
salmon well cheese	food	good
ordering yogurt	food	neutral
not_staff generally decent	staff	bad
supper culb/half	meal	neutral
high end foodie	food	neutral
service phenomenal	service	good
've friend lunch	meal	neutral
regional wine menu	menu	neutral
thin hashbrown	dish	neutral
want make food	food	neutral
chocolate almond	food	neutral
service incredible	service	good
meat-centric restaurant joe	food	neutral
meal fairly reasonable	meal	good
options menu	menu	neutral
dish touch fusion	dish	neutral
not_slices sashimi right	dish	bad
especially mechant carotte	dish	neutral
food well-presented	food	good
'cheese cigar	food	neutral
cake especially memorable	dish	good
food bad	food	bad
details menu english	menu	neutral
service excuisitely delicious	service	good
point seemingly superfluous	dish	bad
amazing especially	dish	good
affordable price	cost	good
drinks menu	menu	neutral
full service	service	neutral
well cheese dinner	meal	good
late night snack	meal	neutral
attentive service staff	staff	good
service friendly polite	service	good
eventful meal	meal	good
special scallop amuse	dish	good
not_price good	cost	bad
salad delicious	dish	good
meal probably last	meal	neutral
dinner going	meal	neutral
reasonable price smaller	cost	good
cheese free	food	good
terms contrasting	cost	neutral
not_aspect meal presentation	meal	neutral
not_caesar salad foam	dish	neutral
butter croutons*maple	food	neutral
excellent side salad	dish	good
sticky toffee pudding	dish	bad
crust flaky buttery	food	bad
not_food n't worth	food	bad
first lunch	meal	neutral
really good service	service	good
food fabulous	food	good
much overall staff	staff	neutral
great tasty food	food	good
highlights meal	meal	neutral
not_first bite	meal	neutral
not_service surprisingly poor	service	good
pieces fish	food	neutral
high price point	dish	bad
moist carrot cake	dish	neutral
food quite flavourful	food	good
steam dramatic	meal	neutral
not_stay away cheese	food	neutral
not_potatoes cheese	food	neutral
not_end meal	meal	neutral
curry laksa chicken	dish	neutral
first course risotto	dish	neutral
service professional	service	good
not_familiar korean food	food	neutral
last supper	meal	neutral
not_think soup	dish	neutral
philly cheese steak	meal	neutral
overall satisfactory lunch	meal	good
food say	food	neutral
offer picnic	meal	neutral
brunch much	meal	neutral
lucky meal	meal	good
dishes make	dish	neutral
not_big price	cost	neutral
impeccable service	service	good
price-tag pretty	cost	good
not_staff attentive	staff	bad
croquettes really good	dish	good
rather tasting menu	menu	good
special effect	dish	good
friends pasta	dish	neutral
terms authentic	cost	good
different chocolate	food	neutral
organic peanut butter	food	neutral
favourite dish night	dish	good
foods go well	food	good
possible serving food	food	neutral
not_enjoying dinner	meal	bad
service overattentive always	service	good
menu bring little	menu	neutral
picky meat	food	bad
not_prices europea	cost	neutral
cheese kimbap	food	neutral
not_average caesar salad	dish	neutral
great atmosphere staff	staff	good
really pricey brunch	meal	bad
staff extremely attractive	staff	good
qualms service pretty	service	good
special nye tasting	dish	good
not_garlic butter	food	neutral
small tasting menu	menu	neutral
menus 'd	menu	neutral
cheese gravy	food	neutral
favorite meal montreal	meal	good
instead regular ol	meal	neutral
delicious food make	food	good
steak cheese	meal	neutral
meals montreal	meal	neutral
interim food	food	neutral
not_really expect disappointments	dish	good
perhaps memorable meal	meal	good
waiters point	dish	neutral
not_dish fairly interesting	dish	bad
belly dish guineafowl	dish	neutral
kind special	dish	neutral
not_menu never	menu	neutral
meals 've	meal	neutral
lsd experience food	food	neutral
especially eat	dish	neutral
whimsical mediocre food	food	bad
fish taco lobster	dish	neutral
exceptional service food	food	good
good breakfast lunch	meal	good
starving butter	food	neutral
toffee pudding	dish	neutral
staff fantastic	staff	good
favorite dish	dish	good
single bite	meal	neutral
wonderful staff	staff	good
not_meal memorable	meal	bad
service eclectic	service	good
not_usual food	food	neutral
ever steak	meal	neutral
special occasion	dish	neutral
early dinner	meal	neutral
dishes beginning extensive	dish	good
fries sauce salad	dish	neutral
menu satisfying	menu	good
costing arm	cost	neutral
basic cheese	food	neutral
cheese thing	food	neutral
expensive meal montreal	meal	bad
not_crab/lobster salad choux	dish	neutral
cheese meat	food	neutral
not_actually caesar salad	dish	neutral
food feeling	food	neutral
wonderful service	service	good
meal montréal	meal	neutral
really good meal	meal	good
providing service	service	neutral
high-priced dining linen	cost	bad
salad 've	dish	neutral
overall staff	staff	neutral
service fantastic	service	good
cheese dinner	meal	neutral
pudding doughnut	dish	neutral
bite-sized dulce	meal	neutral
great meal le	meal	good
menus maybe invite	menu	neutral
satisfying breakfast	meal	good
late bite	meal	neutral
special poutine	dish	good
separate menu	menu	neutral
especially memorable	dish	good
something special	dish	neutral
meat-ed point trip	dish	neutral
dish beautiful	dish	good
different tasting menus	menu	neutral
waitstaff taking	staff	neutral
service remarkable	service	good
hear staff	staff	neutral
ordering food	food	neutral
meats super	food	good
not_dishes solid	dish	bad
not_good comfort food	food	bad
even special	dish	neutral
special restaurant	dish	good
food absolutely crappy	food	bad
pasta much	dish	neutral
eggs hash	dish	neutral
're luck menu	menu	good
not_cheese whiz poutine	food	neutral
chocolate cake creamy	dish	neutral
amazing staff	staff	good
second menu	menu	neutral
go meal	meal	neutral
breakfast try	meal	neutral
giant steak seafood	meal	neutral
good indian food	food	good
not_menu intriguing	menu	bad
exceptional food	food	good
grenoble/warm goat cheese	food	neutral
not_menus sandwich/salad	dish	neutral
not_places suspect curry	dish	good
service overall	service	neutral
people steak	meal	neutral
eating mess	meal	bad
good korean food	food	good
specials ahi	dish	good
helpful staff	staff	good
periodically re-invent menu	menu	good
memories brunch	meal	neutral
not_service great	service	bad
service wonderful	service	good
small restaurant food	food	neutral
third meal montreal	meal	neutral
staff gracious	staff	good
food attentive	food	good
feel special	dish	good
reasonable amount food	food	good
full service breakdown	service	bad
pricey well	cost	good
particular dish	dish	neutral
instead toque	meal	neutral
special try wont	dish	neutral
general experience point	dish	neutral
food amazing	food	good
go brunch de	meal	neutral
actually providing service	service	good
especially thin	dish	neutral
indian food	food	neutral
not_sure menu	menu	neutral
solid meal	meal	good
not_gras dish	dish	neutral
overall meal	meal	neutral
patty believe	dish	neutral
great service timing	service	good
great tasting menu	menu	good
professional service	service	good
tasting menu	menu	neutral
friendly knowledgeable service	service	good
not_much cheese	food	neutral
dishes lamb curry	dish	neutral
helpful service tip	service	good
not_definitely enjoy meal	meal	bad
beautiful service	service	good
prices expect high-end	cost	bad
highlight meal	meal	neutral
mac-n-cheese -because	food	neutral
full tasting menu	menu	good
meat still tasty	food	good
large portion menu	menu	neutral
not_meaty delicious	food	bad
especially hard teaser	meal	bad
even side dishes	dish	neutral
service respectful	service	good
not_food drinking	food	neutral
good lebanese food	food	good
unconventional sushi stop	dish	neutral
great meal crazy	meal	good
not_delicious sushi	dish	bad
not_bad price	cost	good
driving dinner	meal	neutral
service always excellent	service	good
not_wonderful cheese stick	food	bad
not_jello pudding	dish	neutral
things menu	menu	neutral
luckly lunch rush	meal	good
unique fish dish	dish	good
nice especially	dish	good
fantastic brunch	meal	good
dinner significant	meal	good
service interactive	service	good
good food cheap	food	good
overall menu	menu	neutral
bread pudding	dish	neutral
blueberries dish pretty	dish	good
actual food tasting	food	neutral
picnic basket	meal	neutral
important amazing food	food	good
items menu really	menu	neutral
table service	service	neutral
special someone want	dish	neutral
first bite	meal	neutral
food fast-casual	food	neutral
molasses cake pear	dish	neutral
buttery goodness great	food	good
cakes broth	dish	neutral
d'or meat	food	neutral
rather expensive price	cost	bad
food rather quick	food	neutral
hubs bison steak	meal	neutral
fish day foie	food	neutral
basically good food	food	good
not_super special	dish	bad
price justifiable	cost	good
not_special chicken	dish	bad
instead essential element	meal	neutral
not_good dinner	meal	bad
dish amazing	dish	good
questions menu	menu	neutral
instead splitting stuff	meal	bad
not_enough breakfast smallish	meal	neutral
menu really blew	menu	neutral
creative menu	menu	good
not_food 've	food	neutral
especially voicemail box	dish	neutral
voicemail especially voicemail	dish	neutral
plateau small	meal	neutral
not_enjoy meal	meal	bad
re-invent menu	menu	neutral
take food	food	neutral
different staff	staff	neutral
clean food	food	good
staffs extremely earth	staff	good
nice meal beginning	meal	good
not_options menu never	menu	neutral
not_bad food	food	good
not_comparable food	food	neutral
food delectable	food	good
constantly changing menu	menu	good
not_high enjoy food	food	bad
not_breast dessert chocolate	food	neutral
not_really good dish	dish	bad
not_pretty good dish	dish	bad
worth price tag	cost	good
nothing special	dish	neutral
not_french food duck	food	neutral
morning snack	meal	neutral
pricey brunch	meal	bad
not_real cheese	food	neutral
seafood including	food	neutral
foodie honeymoon	food	neutral
focus foodreally nice	food	good
ham special	dish	neutral
especially naan shahi	dish	neutral
wonderful price tag	cost	good
service good	service	good
buttery lobster	food	neutral
delicious bite ball	meal	good
horse meat	food	neutral
seafood sampling reasonable	food	good
instead reading name	meal	neutral
long chatty meal	meal	neutral
fish sandwich	food	neutral
first cheese salty	food	neutral
mid-priced dining earn	cost	neutral
customer instead essential	meal	neutral
not_believe staff	staff	neutral
wise foodie	food	good
special occasion indulge	dish	bad
overall meal service	meal	neutral
dishes get	dish	neutral
breakfast standpoint	meal	neutral
delicious meal thank	meal	good
repeatedly great turnover	dish	good
chinese food	food	neutral
carrying food	food	neutral
slide service	service	neutral
interesting food	food	good
not_staff rather inattentive	staff	good
dinner recent	meal	neutral
pungent cheese	food	neutral
picnic basket take	meal	neutral
meal visiting	meal	neutral
cheese steak	meal	neutral
excellent service excellent	service	good
dish super juicy	dish	good
especially cheek	dish	neutral
portions bite wonderful	meal	good
menu explaining	menu	neutral
cold shrimp dish	dish	bad
away meal look	meal	neutral
great food	food	good
not_cheese know	food	neutral
everything lovely picnic	meal	good
not_prices dish	dish	neutral
truly outstanding meal	meal	good
solid comfort food	food	good
quick lunch	meal	neutral
couscous salad	dish	neutral
specially salad	dish	neutral
staff friendly efficient	staff	good
good price	cost	good
great dish	dish	good
food neglecting	food	neutral
not_go tasting menu	menu	neutral
caffe bite-sized	meal	neutral
noodles fish	food	neutral
actual desert point	dish	bad
spouse/bff/special person life	dish	neutral
order special	dish	neutral
prices 'm	cost	neutral
europea instead toque	meal	neutral
whole service explaining	service	neutral
delicious food start	food	good
mushrooms dish	dish	neutral
japanese food	food	neutral
not_exactly steakhouseanthony bourdain	meal	neutral
average steak	meal	neutral
korean food	food	neutral
dish quiet lunch	meal	good
not_impeccable food perfection	food	bad
oysters cheese	food	neutral
extremely courteous service	service	good
back breakfast try	meal	neutral
scallops buttery perfectly	food	good
celebrate special	dish	good
omelettes coffee	dish	neutral
not_curry came fron	dish	neutral
pudding chocolate	dish	neutral
over-priced meal	meal	bad
special occasionanother	dish	neutral
little pricey	cost	bad
not_perfect meal	meal	bad
rich dish	dish	good
not_sushi 're	dish	neutral
delicious food awesome	food	good
service great	service	good
careful food	food	neutral
service make sure	service	good
huge handful salad	dish	good
dishes korean	dish	neutral
mains fish	food	neutral
not_quite disappointed wondering	dish	good
craving tea	meal	good
food passable	food	good
crab special	dish	neutral
foods sweet	food	good
meals recent	meal	neutral
not_way much cheese	food	neutral
special restaurant montreal	dish	good
gluten-free pancake	dish	neutral
dreaming meal	meal	neutral
good food comforting	food	good
obviously mac-n-cheese-	food	neutral
still delicious service	service	good
dish regular	dish	neutral
not_soon good dinner	meal	bad
not_really perfect meal	meal	bad
attentive service	service	good
instead cheese gravy	meal	neutral
special dining destination	dish	good
not_probably enough breakfast	meal	bad
good dish	dish	good
expensive price pay	cost	bad
special rich taste	dish	good
not_price pretty good	cost	bad
good amount food	food	good
little steep brunch	meal	bad
always meaty	food	neutral
ribs beef curry	dish	neutral
creative sushi	dish	good
yummy cheese	food	neutral
delicious buttery	food	good
great dinner date	meal	good
food disappointing	dish	bad
dish year	dish	neutral
bad food	food	bad
not_daily special	dish	neutral
menu incredibly large	menu	good
dish per person	dish	neutral
rich hearty meal	meal	good
name serving picnic	meal	neutral
not_food absolutely delicious	food	bad
meals foodie honeymoon	meal	neutral
prior showing dinner	meal	neutral
interaction instead reading	meal	good
really recommend breakfast	meal	good
cheese plate	food	neutral
not_cheese pesto spread	meal	neutral
munster give dish	dish	neutral
bouches including -cheese	food	neutral
rich food	food	good
meal look	meal	neutral
not_friends brunch	meal	neutral
food impeccable	food	good
going service	service	neutral
not_present food	food	neutral
not_caring staff	staff	bad
santé much food-	food	neutral
especially cold	dish	bad
basic service courtesy	service	good
brothers menu	menu	neutral
not_'ll try spoil	dish	good
menu creative	menu	good
asian food	food	neutral
service especially restaurant	dish	neutral
table got food	food	neutral
indulgenceafter terribly disappointing	dish	bad
pricey definitely	cost	bad
staff friendly small	staff	good
menu well worth	menu	good
courses pizzazz	dish	neutral
meal good	meal	good
not_bite final	meal	neutral
grabbing lunch	meal	neutral
french onion soup	dish	neutral
food amazing especially	dish	good
specialty fantastic	dish	good
fresh quality fish	food	good
great service staff	staff	good
not_food quite compare	food	neutral
food ridiculously delicious	food	good
friends- special	dish	neutral
famous seafood pancake	dish	good
not_wonderful service	service	bad
menu chef	menu	neutral
not_secret/hidden menu	menu	neutral
not_entrée plenty food	food	neutral
single dish	dish	neutral
service impeccable	service	good
not_staff knowledgable	staff	bad
costly guilty pleasure	cost	bad
dishes good	dish	good
not_even special	dish	neutral
not_generous service	service	bad
jealous amazing food	food	good
breast dessert chocolate	food	neutral
not_food really good	food	bad
not_terms value sad	cost	good
dish many	dish	neutral
bison special	dish	neutral
not_tasting menu	menu	bad
especially restaurant	dish	neutral
special day oyster	dish	good
staff lovely thing	staff	good
special night	dish	neutral
chunks cheese	food	neutral
not_seeing menu	menu	neutral
montreal special	dish	neutral
food comforting affordable	food	good
large cheese bowl	food	neutral
extra charge	cost	neutral
service inexcusable	service	bad
dishes salad	dish	neutral
special app day	dish	neutral
tacos delicious	dish	good
not_bread pudding	dish	neutral
fantastic food service	food	good
atmosphere great staff	staff	good
want good food	food	good
not_-style salad	dish	neutral
assure food	food	good
salad bread portuguese	dish	neutral
portuguese custard	dish	neutral
atmosphere good food	food	good
chocolate cake plain	dish	neutral
typical syrup butter	food	neutral
cheeselollipops popcorn	food	neutral
not_food well-presented	food	bad
picky sushi	dish	bad
service okay	service	good
terribly disappointing friday	dish	bad
good food service	food	good
not_fries cheese	food	neutral
ramen sushi	dish	neutral
not_menu suggest	menu	neutral
great staff	staff	good
knowledgeable in-tune menu	menu	good
not_well secret/hidden menu	menu	bad
not_meat eater	food	neutral
foodie last	food	neutral
offers breakfast	meal	neutral
cheese lobster	food	neutral
food consistently delicious	food	good
dakbal dish	dish	neutral
see staff	staff	neutral
bite eat alone	meal	neutral
foodreally nice place	food	good
menu tempting	menu	good
indeed menu	menu	neutral
cheese overbearing	food	bad
meal completely worth	meal	good
meal new	meal	neutral
salad expect	dish	neutral
reads menu	menu	neutral
9-course tasting menu	menu	neutral
food wandering aimlessly	food	neutral
food delicious	food	good
bites kimchi	meal	neutral
dishes fit	dish	neutral
much food-	food	neutral
showing dinner	meal	neutral
icons sushi	dish	neutral
great meal haha	meal	good
different butter assortment	food	good
memorable food experience	food	good
experts menu	menu	good
meat/veggies inside inside	food	neutral
dinner instead good	meal	good
not_service huge	service	bad
recommend breakfast anyone	meal	good
indian food stay	food	neutral
plate costing	cost	neutral
cheese right size	food	good
﻿service outstanding	service	good
dishes tastefull	dish	good
sweetbreads risotto tartare	dish	neutral
simply amazing staff	staff	good
rock/chocolate hazelnut sucker	food	bad
implies dish	dish	neutral
somwthing special	dish	good
not_actual thought-out dish	dish	bad
absolutely crappy service	service	bad
service terrible	service	bad
've order food	food	neutral
buns buttery	food	neutral
atmosphere great food	food	good
not_bite food	meal	neutral
not_old school meal	meal	neutral
finishing meal	meal	neutral
food outstanding	food	good
service explaining	service	neutral
oily meat	food	bad
not_looking menu	menu	neutral
not_terms taste/flavor	cost	bad
first tostada	dish	neutral
cheese weird	food	bad
the-best-place montreal breakfast	meal	good
price-tag bit fast	cost	good
favorite sushi	dish	good
special occasion dad	dish	neutral
small menu namaste	menu	neutral
delicious crust risotto	dish	good
price make sure	cost	neutral
dish smoke waiter	dish	bad
changing menu	menu	neutral
not_steak lobster	meal	neutral
cryptic menu chalk	menu	bad
sushi menu	dish	neutral
food draining	food	bad
not_food definitely appreciate	food	bad
outstanding service	service	good
exceptionally good service	service	good
lollipop truffle-cheese	food	neutral
service make perfect	service	good
reasonable downtown/plateau area	meal	good
dish wine sooo	dish	neutral
apps cheese	food	neutral
types sushi	dish	neutral
say food	food	neutral
good hash	dish	good
not_prices highly recommend	cost	bad
different sushi restaurant	dish	neutral
hunting fishing	food	neutral
fantastic dinner	meal	good
really nice dinner	meal	good
buttery perfectly	food	good
fantastic dish	dish	good
fabulous food	food	good
dishes phenomenal	dish	good
chocolate cake	dish	neutral
indulgent food	food	good
slivers fish	food	neutral
delicious service	service	good
good meal birthday	meal	good
not_menu simply enjoy	menu	bad
cheese spinach ricotta	food	neutral
not_special occasion	dish	neutral
pop rock/chocolate	food	neutral
quickly luckly lunch	meal	good
terms 'wow	cost	neutral
special meal celebrate	meal	good
food looking forward	food	good
dish tostada case	dish	neutral
favorite meal	meal	good
not_menu immensely difficult	menu	good
dish caramelle pasta	dish	neutral
not_white fish butter	food	neutral
dish absolutely incredible	dish	good
high-end service go	service	good
friends grabbing bite	meal	good
point easy	dish	good
terms taste	cost	neutral
much flavour dish	dish	good
nice hearty snack	meal	good
especially restaurant manager	dish	neutral
bites meal	meal	neutral
lunch rush college	meal	neutral
brunch de	meal	neutral
not_cheese ca	food	neutral
steep price tag	cost	bad
food outrageously slow	food	bad
intricate omelette	dish	good
enough dish	dish	good
not_mushrooms buttery	food	neutral
food-wise experience consistent	food	good
sticky coconut rice	food	bad
noodles chili paste	dish	neutral
fresh food great	food	good
real cheese	food	neutral
meat 've	food	neutral
special appetizer	dish	good
extremely pricey	cost	bad
not_bad meat strip	food	good
different texture meat	food	neutral
not_asian food	food	neutral
food atmosphere worth	food	good
not_dreaming meal	meal	bad
overall food	food	neutral
final main dish	dish	neutral
little disappointing	dish	bad
staff welcoming	staff	good
dishes quite tasty	dish	good
